food_category	restaurant	item_name	item_description	calories	total_fat	saturated_fat	trans_fat	cholesterol	sodium	carbohydrates	dietary_fiber	sugar	protein	health_score	reasoning	food_type	protein_type	
Sandwiches	Arby's	Classic Beef n Cheddar	"Classic Beef n Cheddar, Slow Roasted Beef"	470	19	8	0	70	1230	45	3	9	29	7	"High: saturated fat, sodium | Low: dietary fiber"	Sandwiches	Cheese	
Sandwiches	Arby's	Reuben	"Reuben, Market Fresh"	380	25	8	0	10	270	35	1	12	4	6.3	"High: saturated fat | Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Arby's	Smokehouse Brisket	"Smokehouse Brisket, Slow Roasted Beef"	610	30	8	0	65	1400	58	4	7	28	6.9	"High: total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Classic French Dip & Swiss/Au Jus	"Classic French Dip & Swiss/Au Jus, Slow Roasted Beef"	450	20	6	1	50	1280	45	2	9	23	6	"High: trans fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Buffalo Chicken Slider	"Buffalo Chicken Slider, Sliders, Kids Meals"	360	14	5	0.5	50	970	37	2	5	23	7.4	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	Arby's	Roast Beef Gyro	Roast Beef Gyro	510	24	9	1.5	95	1610	38	2	5	38	5.2	"High: saturated fat, trans fat, sodium | Low: dietary fiber"	Sandwiches	Lamb/Beef	
Sandwiches	Arby's	Greek Gyro	"Greek Gyro, Market Fresh"	15	0	0	0	0	180	3	0	2	0	8.7	"Low: dietary fiber, protein"	Sandwiches	Lamb/Beef	
Sandwiches	Arby's	Roast Turkey Gyro	Roast Turkey Gyro	510	25	5	0	55	1230	48	4	7	24	7.6	High: sodium | Low: dietary fiber	Sandwiches	Lamb/Beef	
Sandwiches	Arby's	Chicken Slider	"Chicken Slider, Sliders"	370	18	3	0	60	1190	28	2	0	23	8.2	High: sodium | Low: dietary fiber	Sandwiches	Chicken	
Sandwiches	Arby's	Roast Beef Slider	"Roast Beef Slider, Sliders"	610	30	4.5	0	100	1990	47	3	0	39	7.1	"High: total fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Chicken Slider	"Chicken Slider, Kids Meals"	45	0	0	0	0	360	10	0	8	0	8.1	"Low: dietary fiber, protein"	Sandwiches	Chicken	
Sandwiches	Arby's	Roast Beef Slider	"Roast Beef Slider, Kids Meals"	10	1	0	0	0	720	2	0	0	0	8.1	"Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Arby's	Roast Turkey Slider	"Roast Turkey Slider, Kids Meals"	130	13	2	0	10	160	5	0	4	0	7.7	"Low: dietary fiber, protein"	Sandwiches	Turkey	
Sandwiches	Arby's	Real Country Style Rib Sandwich	"Real Country Style Rib Sandwich, Limited Time Offers"	810	35	10	0.5	80	2520	79	5	15	46	5.2	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Prime Rib Cheesesteak	"Prime Rib Cheesesteak, Limited Time Offers"	680	31	8	0.5	80	2420	62	4	5	37	6.1	"High: calories, total fat, saturated fat, sodium | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Chicken Cheddar Ranch Sandwich	"Chicken Cheddar Ranch Sandwich, Limited Time Offers"	350	9	6	0	30	220	59	1	51	8	6.9	"High: sugar | Low: dietary fiber, protein"	Sandwiches	Chicken	
Sandwiches	Arby's	Double Beef n Cheddar	"Double Beef n Cheddar, Slow Roasted Beef"	540	17	11	0	50	320	86	1	76	12	6	"High: saturated fat, sugar | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Half Pound Beef n Cheddar	"Half Pound Beef n Cheddar, Slow Roasted Beef"	700	21	14	0	65	420	113	1	99	16	5.9	"High: calories, saturated fat, sugar | Low: dietary fiber"	Sandwiches	Cheese	
Sandwiches	Arby's	Classic Roast Beef	"Classic Roast Beef, Slow Roasted Beef"	970	29	19	0.5	90	590	158	2	138	22	4.6	"High: calories, total fat, saturated fat, sugar | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Double Roast Beef	"Double Roast Beef, Slow Roasted Beef"	310	9	6	0	30	210	49	0	45	9	6.8	"High: sugar | Low: dietary fiber, protein"	Sandwiches	Beef	
Sandwiches	Arby's	Half Pound Roast Beef	"Half Pound Roast Beef, Slow Roasted Beef"	480	17	11	0	55	300	70	0	64	12	5.9	"High: saturated fat, sugar | Low: dietary fiber"	Sandwiches	Beef	
Sandwiches	Arby's	Chicken Bacon Swiss	"Chicken Bacon Swiss, Crispy Juicy Chicken"	430	18	10	0	30	360	63	1	33	4	5.3	"High: saturated fat, sugar | Low: dietary fiber, protein"	Sandwiches	Chicken	
